"title","fund1","fund2","fund3","fund4","fund5","date"
"부자가될거야의 업다운폴리오 - 3","삼성 한국형TDF2030증권투자신탁H [주식혼합-재간접형] S-P","흥국 멀티플레이30공모주증권자투자신탁 [채권혼합] S-P","에셋원 비트(BiT)플러스공모주증권투자신탁[채권혼합] S-P1",NA,NA,"2018.11.19"
"부자가될거야의 업다운폴리오 - 2","신영 고배당증권자투자신탁 (주식) S","이스트스프링 미국뱅크론특별자산자투자신탁(UH) [대출채권] S","한국투자 코스닥인버스증권투자신탁(주식-재간접파생형)(S)",NA,NA,"2018.11.19"
"부자가될거야의 업다운폴리오 - 1","신영 고배당증권자투자신탁 (주식) S","이스트스프링 미국뱅크론특별자산자투자신탁(UH) [대출채권] S","한국투자 코스닥인버스증권투자신탁(주식-재간접파생형)(S)",NA,NA,"2018.11.19"
"귀접힌냥이의 카트폴리오 - 2","피델리티 글로벌테크놀로지증권자투자신탁 (주식-재간접형) S-PRS","피델리티 글로벌배당인컴증권자투자신탁 (주식-재간접형) S-PRS","피델리티 차이나컨슈머증권자투자신탁 (주식-재간접형) S-PRS","피델리티 이머징아시아증권자투자신탁(주식-재간접형)종류S-PRS",NA,"2018.11.18"
"Vorru의 업다운폴리오 - 1","삼성 ABFKorea인덱스증권투자신탁[채권](S-P)","한국투자 e단기채증권투자신탁(채권) S-P","한국투자 EMP글로벌자산배분증권자투자신탁(주식혼합-재간접형)S-P",NA,NA,"2018.11.17"
"업다운폴리오 - 4","미래에셋미국리츠안정배분혼합자산자투자신탁(파생재간접형)종류S","하이 공모주&배당주10증권투자신탁 [채권혼합] S","하나UBS 유로하이일드증권자투자신탁 [채권-재간접형] S",NA,NA,"2018.11.17"
"무제의 카트폴리오 - 11","에셋플러스 글로벌리치투게더증권자투자신탁1 (주식) S","미래에셋 차이나H인덱스증권투자신탁1호 (주식) S","한화 중국본토증권자투자신탁H (주식) S","피델리티 글로벌테크놀로지증권자투자신탁 (주식-재간접형) S",NA,"2018.11.14"
"피글렛96의 업다운폴리오 - 1","플러스 배당알파안정형증권투자신탁1호 (주식혼합) S","미래에셋 이머징달러회사채증권자투자신탁1호(UH) (채권) S","하이 글로벌 메자닌 증권 자투자신탁 H[채권혼합] S",NA,NA,"2018.11.13"
"고수따라잡기의 업다운폴리오 - 1","피델리티 글로벌테크놀로지증권자투자신탁 (주식-재간접형) S","한국투자 코스닥인버스증권투자신탁(주식-재간접파생형)(S)","삼성 일본중소형FOCUS증권자투자신탁UH [주식] S",NA,NA,"2018.11.13"
"임시저장5","피델리티 글로벌테크놀로지증권자투자신탁 (주식-재간접형) S-PRS","흥국 플래티넘개인용MMF1호 C-p","블랙록 월드헬스사이언스증권투자신탁 (주식-재간접형) S-P","이스트스프링 미국뱅크론특별자산자투자신탁(UH) [대출채권] S-P","AB 미국그로스증권투자신탁 (주식-재간접형) S-P","2018.11.12"
"임시저장4","피델리티 글로벌테크놀로지증권자투자신탁 (주식-재간접형) S-PRS","흥국 플래티넘개인용MMF1호 C-p","블랙록 월드헬스사이언스증권투자신탁 (주식-재간접형) S-P","이스트스프링 미국뱅크론특별자산자투자신탁(UH) [대출채권] S-P","미래에셋 미국블루칩인덱스증권투자신탁1호 (주식) S","2018.11.12"
"임시저장3","AB 미국그로스증권투자신탁 (주식-재간접형) S-P","피델리티 글로벌테크놀로지증권자투자신탁 (주식-재간접형) S-PRS","흥국 플래티넘개인용MMF1호 C-p","블랙록 월드헬스사이언스증권투자신탁 (주식-재간접형) S-P","이스트스프링 미국뱅크론특별자산자투자신탁(UH) [대출채권] S-P","2018.11.12"
"임시저장2","피델리티 글로벌테크놀로지증권자투자신탁 (주식-재간접형) S-PRS","이스트스프링 미국뱅크론특별자산자투자신탁(UH) [대출채권] S-P","삼성 미국코어주식증권자투자신탁UH[주식]S-P",NA,NA,"2018.11.12"
"임시저장1","AB 미국그로스증권투자신탁 (주식-재간접형) S-P","피델리티 글로벌테크놀로지증권자투자신탁 (주식-재간접형) S-PRS","흥국 플래티넘개인용MMF1호 C-p","블랙록 월드헬스사이언스증권투자신탁 (주식-재간접형) S-P",NA,"2018.11.12"
"킹스맨리턴즈의 카트폴리오 - 35","미래에셋 재팬인덱스증권투자신탁1호 (주식-파생형) S","에셋플러스 알파로보코리아그로스증권자투자신탁1-1호(주식)종류S",NA,NA,NA,"2018.11.12"
"suchende의 카트폴리오 - 2","KB 스타미국S&P500인덱스증권자투자신탁 [주식-파생형] S","KB 스타재팬인덱스증권자투자신탁 (주식-파생형) S",NA,NA,NA,"2018.11.11"
"superlab의 업다운폴리오 - 1","한화 중국본토증권자투자신탁H (주식) S","삼성 미국코어주식증권자투자신탁UH[주식] S","미래에셋 브라질업종대표증권자투자신탁1호 (주식) S",NA,NA,"2018.11.10"
"노기스가온나의 업다운폴리오 - 5","삼성 코스닥150 1.5배레버리지증권투자신탁 [주식-파생형] S","한국투자 코스닥인버스증권투자신탁(주식-재간접파생형)(S)","미래에셋 브라질업종대표증권자투자신탁1호 (주식) S",NA,NA,"2018.11.09"
"노기스가온나의 업다운폴리오 - 3","삼성 코스닥150 1.5배레버리지증권투자신탁 [주식-파생형] S","한국투자 코스닥인버스증권투자신탁(주식-재간접파생형)(S)","미래에셋 브라질업종대표증권자투자신탁1호 (주식) S",NA,NA,"2018.11.09"
"OBIWAN의 카트폴리오 - 14","미래에셋차이나심천100인덱스증권자투자신탁1호(주식-파생형)S","삼성 미국코어밸런스증권자투자신탁UH [주식혼합] S","삼성 당신을위한신연금이머징다이나믹증권전환형자투자신탁제1호 [주식]",NA,NA,"2018.11.09"
"최대분산 포트폴리오","삼성 한국형TDF2030증권투자신탁H [주식혼합-재간접형] S","미래에셋 글로벌EMP자산배분증권자투자신탁1호(채권혼합-재간접형)S","프랭클린 K2멀티전략증권자투자신탁 (주식혼합-재간접형) S","마이다스 거북이30증권자투자신탁1호 (채권혼합) S",NA,"2018.11.08"
"간소화 포트폴리오","피델리티 글로벌테크놀로지증권자투자신탁 (주식-재간접형) S","IBK FANG+1.5레버리지W인덱스증권투자신탁[주식-파생형]S","한화 중국본토증권자투자신탁H (주식) S",NA,NA,"2018.11.08"
"미국주식-채권","미래에셋 미국블루칩인덱스증권투자신탁1호 (주식) S","한국투자 크레딧포커스증권자투자신탁1호 (채권) S",NA,NA,NA,"2018.11.08"
"단순포트폴리오- 4","피델리티 글로벌테크놀로지증권자투자신탁 (주식-재간접형) S","미래에셋 글로벌배당과인컴증권자투자신탁1호 (채권혼합) S",NA,NA,NA,"2018.11.08"
"리니짱의 카트폴리오 - 7","삼성 한국형 TDF 2045 증권투자신탁H[주식혼합-재간접형] S-P","신한BNPP 스마트인덱스소득공제장기50증권전환형자투자신탁 [채권혼합] S-T","하이 실적포커스30증권투자신탁1호 [채권혼합] S","삼성 미국인덱스증권자투자신탁H [주식] S",NA,"2018.11.08"
"11111","KB 코리아 인버스 2배 레버리지 증권 투자신탁(주식-파생재간접형)S클래스","삼성 한국형 TDF 2045 증권투자신탁H[주식혼합-재간접형] S-P","신한BNPP 스마트인덱스소득공제장기50증권전환형자투자신탁 [채권혼합] S-T","하이 실적포커스30증권투자신탁1호 [채권혼합] S",NA,"2018.11.08"
"발복의 업다운폴리오 - 2","교보악사 공모주하이일드플러스증권투자신탁[채권혼합]S-P","에셋원 비트(BiT)플러스공모주증권투자신탁[채권혼합] S-P1","삼성 미국코어주식증권자투자신탁UH[주식]S-P",NA,NA,"2018.11.06"
"이영찬의 업다운폴리오 - 1","대신 KOSPI200인덱스증권자투자신탁 [주식-파생형] Ce","멀티에셋 삼바브라질증권자투자신탁 [채권] S","미래에셋 베트남증권투자회사1호 (주식혼합) S",NA,NA,"2018.11.06"
"핑꾸팬서닷의 업다운폴리오 - 2","한국투자 삼성그룹증권자투자신탁1호 (채권혼합) S","키움 장대트리플플러스증권투자신탁1호 [채권혼합]S","삼성 미국코어밸런스증권자투자신탁UH [주식혼합] S",NA,NA,"2018.11.05"
"오니기리의 업다운폴리오 - 4","AB 미국그로스증권투자신탁 (주식-재간접형) S","미래에셋 베트남증권투자회사1호 (주식혼합) S","DB 글로벌핀테크증권자투자신탁(UH)[주식] 종류S",NA,NA,"2018.11.05"
"오니기리의 업다운폴리오 - 3","미래에셋 인덱스로미국증권자투자신탁 (주식-재간접형) C-e","한국투자 베트남증권자투자신탁1호 (주식혼합) S","미래에셋G2이노베이터증권자투자신탁(주식)종류S",NA,NA,"2018.11.04"
"업다운함해봄","미래에셋 인사이트증권자투자신탁1호 (주식혼합) S","피델리티 아시아증권자투자신탁 (주식) S","DB 글로벌핀테크증권자투자신탁(H)[주식] 종류S",NA,NA,"2018.11.04"
"슈언니의 업다운폴리오 - 2","미래에셋 브라질업종대표증권자투자신탁1호 (주식) S","미래에셋 베트남증권투자회사1호 (주식혼합) S","미래에셋 러시아업종대표증권자투자신탁1호 (주식) S",NA,NA,"2018.11.04"
"송상윤의 삼성솔루션 - 18","삼성 인덱스플러스증권투자신탁 제1호[주식-파생형]S","삼성 글로벌선진국증권자투자신탁H [주식] S","삼성 코리아중기채권증권자투자신탁 제1호[채권]S","삼성 글로벌채권증권자투자신탁H[채권]S",NA,"2018.11.02"
"eesnow의 업다운폴리오 - 1","KB 통중국그로스증권자투자신탁(주식)S-P","키움 글로벌모기지인컴부동산투자신탁제1호[재간접형]S-P",NA,NA,NA,"2018.10.30"
"오니기리의 업다운폴리오 - 1","IBK 다보스 글로벌 고배당 증권 자투자신탁 1호[주식]S-P","DB 글로벌핀테크증권자투자신탁(UH)[주식] 종류S-P","AB 미국그로스증권투자신탁 (주식-재간접형) S-P",NA,NA,"2018.10.28"
"포린의 카트폴리오 - 9","AB 글로벌고수익증권투자신탁 (채권-재간접형) S-P","KB 연금미국S&P500인덱스증권자투자신탁 (주식-파생형) S-P","미래에셋 글로벌다이나믹연금증권전환형자투자신탁1호 (채권) S-P","에셋플러스 글로벌리치투게더연금증권자투자신탁1호 (주식) S-P","피델리티 글로벌배당인컴증권자투자신탁 (주식-재간접형) S","2018.10.28"
